open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_volume,taker_buy_quote_volume,ema_10,ema_20,ema_50,sma_30,sma_52,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,bb_width,bb_position,atr_14,volume_sma_10,volume_ratio,price_change_1w,price_change_4w,price_change_12w,price_change_52w
2020-03-16,123.82,152.55,101.1,122.32,11531693.74471,2020-03-22 23:59:59.999,1434584795.7228136,3322771,5736344.96061,714059833.551138,178.35067813544472,180.56245889881978,195.25564737923844,175.53266666666667,194.3426923076923,46.69749442476715,-2.457873027114175,0.5055966052823256,-2.963469632396501,261.418219392635,172.649,83.87978060736498,1.0283201106596045,0.2165177279672255,43.50428571428571,6213648.135385001,1.8558652652119463,-1.1795120374858636,-55.43573302244245,-8.961000297707667,-10.118304063487404
2020-03-23,122.31,143.36,119.5,124.5,6613460.31407,2020-03-29 23:59:59.999,880904806.5702285,2046998,3289978.24911,438481626.36017126,168.55964574718203,175.22317709893218,192.48091610946437,173.99133333333333,194.01807692307693,48.72105954908503,-6.648687400338929,-0.9252601958419253,-5.723427204497003,260.35616508345333,169.426,78.49583491654666,1.0733909209147752,0.25296426681526374,43.31857142857143,6417496.492202001,1.0305358673909861,1.7822105951602385,-42.84008998668565,-8.029844130900498,-11.93945395388315
2020-03-30,124.47,149.76,124.06,142.68,4918442.82175,2020-04-05 23:59:59.999,677699035.8493748,1481215,2441826.28827,336508356.3115929,163.85425561133073,172.1238268990339,190.52793900713243,172.70766666666668,193.41173076923076,51.33060388945753,-8.406064047163596,-2.42142096610626,-5.984643081057337,258.78814711342574,167.369,75.94985288657428,1.0924262810129204,0.36496811237274057,44.00000000000001,6688013.456309,0.735411621684207,14.602409638554214,-28.456099884671314,-2.6340930803876006,-18.098846220079214
2020-04-06,142.69,176.22,142.6,158.59,7843255.9423,2020-04-12 23:59:59.999,1283987017.9383104,2094660,3894573.74983,637635225.8426057,162.8971182274524,170.83489100388783,189.2754708107743,171.693,193.24557692307692,53.544605239054775,-8.417956701545734,-3.620728113194155,-4.797228588351579,258.9198901581245,168.3005,77.68110984187553,1.076876065824219,0.4464215109864685,45.52214285714286,7189136.942876001,1.0909871385983532,11.150827025511623,28.122475359508805,-4.916361892199761,-5.166537104586489
2020-04-13,158.56,189.54,148.33,180.03,6963042.65527,2020-04-19 23:59:59.999,1167514838.3714104,1758664,3441657.57552,577154095.5604964,166.01218764064288,171.71061567018424,188.91290332799883,170.65400000000002,193.4655769230769,54.95692845090435,-6.621029787440023,-4.220788448043329,-2.4002413393966933,260.1358899981618,169.7655,79.39511000183819,1.0646496490530974,0.5567912786489512,47.52357142857143,7538341.481859,0.9236836341291442,13.519137398322712,47.17952910398955,7.2500893601811,6.7856931016074595
2020-04-20,180.02,200.0,166.7,197.38,7306676.73642,2020-04-26 23:59:59.999,1338645236.8195424,1900174,3598198.47132,659542868.1985834,171.71542625143508,174.15531893969052,189.244946334744,171.592,194.22576923076923,54.56689856976501,-3.7536821506057265,-4.127367188555809,0.37368503795008223,262.8071903511642,172.1125,81.41780964883581,1.0539000984956255,0.63929977544532,47.24285714285715,7675047.032189001,0.9520041643752718,9.637282675109704,58.53815261044177,4.7442156654638135,25.04276211593286
2020-04-27,197.39,227.3,189.29,209.86,6890363.53637,2020-05-03 23:59:59.999,1434072815.1823306,2170583,3377862.70939,703257164.7990073,178.65080329662868,177.5557647549581,190.05337981181285,172.91733333333335,195.12596153846152,56.06375606375607,-0.46885215421869475,-3.395664181688386,2.9268120274696914,266.5460608849745,175.48250000000002,84.4189391150255,1.0378648684053908,0.6887555223291971,48.820714285714295,7845236.435705001,0.8782862814702165,6.322829060695123,47.084384636949814,-8.153529694953821,28.70898497393437
2020-05-04,209.86,216.61,179.59,187.54,6902379.63527,2020-05-10 23:59:59.999,1404313044.4435835,2129976,3368697.81167,685820085.0350784,180.26702087905983,178.50664430210492,189.95481589762412,173.13566666666665,195.11499999999998,49.87071194621617,0.32956282476510523,-2.650618780397688,2.980181605162793,267.1055033009996,178.255,89.40449669900039,0.9968921298252459,0.5522506888258423,49.45,7889681.109208999,0.8748616756149244,-10.63566186981798,18.254618828425496,-27.54877342090014,-0.3030141938227704
2020-05-11,187.62,209.85,176.0,207.0,5967260.43774,2020-05-17 23:59:59.999,1170109877.664287,1580858,2983701.9877,585376585.5732926,185.1275625374126,181.22029722571398,190.62325448987417,174.19500000000002,194.1051923076923,46.71878340000611,2.503710596621147,-1.6197529049939212,4.123463501615069,269.1061821248352,181.887,94.66781787516484,0.959048003703785,0.6439648904529752,48.585,7972639.152496,0.7484673924909577,10.376453023355015,14.980836527245467,-24.584669192655205,-20.234287696042543
2020-05-18,207.02,217.07,191.71,199.9,5331065.62027,2020-05-24 23:59:59.999,1109137788.7174232,1462064,2628629.73648,547119380.1482195,187.813460257883,182.99931653755073,190.98704843144773,174.73333333333332,192.86384615384617,40.31096939614082,3.6121886446950384,-0.5733645950561294,4.185553239751168,269.82547399360726,185.1135,100.40152600639271,0.9152436099323634,0.5872751472012437,45.250714285714295,7026764.144417,0.7586800283464346,-3.4299516908212535,1.276725098794218,-8.222762958541852,-24.409151068254864
2020-05-25,199.9,247.0,196.9,231.57,4530088.58138,2020-05-31 23:59:59.999,996101709.6267661,1606160,2277703.39172,500055794.1046476,195.7691947564497,187.62509591492687,192.5785367282537,176.401,192.14634615384614,43.30054644808743,6.965871575297712,0.9344826390146388,6.031388936283073,274.45980718895356,189.36499999999998,104.27019281104641,0.8987384911567987,0.7479881052335163,45.695,6326603.628084,0.7160379956902609,15.842921460730363,10.344991899361467,16.115930401644675,-13.876078548051174
2020-06-01,231.56,253.8,225.0,244.56,4414708.13506,2020-06-07 23:59:59.999,1065341025.9402221,1734456,2207030.26471,532806703.3647848,204.640250255277,193.0474677325529,194.61702548400848,178.25433333333334,192.4075,54.83602704559424,10.550257101265089,2.857637531464729,7.69261956980036,281.0688544360878,193.2535,105.43814556391223,0.9088099769068895,0.7921271589089866,42.95214285714286,6106728.410182999,0.7229252454879855,5.609534913848946,30.40418044150581,97.5763451284537,5.879296908823273
2020-06-08,244.57,250.28,226.2,231.77,3056442.5613,2020-06-14 23:59:59.999,733323470.8889253,1318565,1492567.05731,358324962.694348,209.57293202704483,196.7353279485002,196.07400487679246,179.85266666666666,191.71596153846153,55.96723005387852,12.218020609059835,4.729714146983751,7.488306462076084,285.0216163931931,196.449,107.87638360680697,0.9017364954078978,0.6993900679370383,40.641428571428584,5920528.384138,0.5162448962306602,-5.229800457965316,11.966183574879242,89.47841726618707,-13.431442124528449
2020-06-15,231.74,237.3,218.27,228.04,3144051.5027,2020-06-21 23:59:59.999,722650570.9703672,1231428,1530944.44411,352028855.8189577,212.93058074940032,199.7167252867383,197.32757331299666,182.78866666666667,190.16826923076923,76.18808399477544,13.087886370334246,6.40134859165385,6.686537778680396,288.0124852966418,198.42900000000003,108.84551470335828,0.9029273472792962,0.6652704173204902,33.24214285714286,5450607.940178,0.5768258398341755,-1.6093541010484658,14.077038519259633,83.16465863453814,-26.08582911966809
